| 2012/08/28 12:18:30 PM |          0 | 31.51 |           0.0 |        33 |       86 |        21 |        38 |          7 |         17 |        62.0 |                     none |                                            - |        none |         none |               none |     48831.5 |
| 2012/08/28 12:20:30 PM |          0 | 31.65 |         +0.14 |        34 |      105 |        36 |        40 |         22 |         16 |        72.0 |                     none |                                            - |        none |         none |               none |    48845.65 |
| 2012/08/28 12:22:30 PM |          3 | 31.57 |         -0.01 |        40 |       77 |        27 |        36 |         50 |         17 |        56.0 |                     none |                                            - |        none |         none |               none |    53835.07 |
| 2012/08/28 12:24:30 PM |          0 | 31.57 |           0.0 |        40 |       70 |        25 |        36 |         43 |         18 |        53.0 |                     none |                                            - |        none |         none |               none |    58827.78 |
| 2012/08/28 12:26:30 PM |          7 |  31.3 |         -0.27 |        40 |       18 |       -10 |        27 |         28 |         19 |        22.0 |                     none |                                            - |        none |         none |               none |    63816.35 |
| 2012/08/28 12:28:30 PM |          0 | 31.32 |         +0.02 |        22 |       23 |       -12 |        29 |         22 |         15 |        26.0 |                     none |                                            - |        none |         none |               none |     68784.9 |
| 2012/08/28 12:30:30 PM |          0 | 31.37 |         +0.05 |        14 |       25 |        -6 |        29 |          1 |         11 |        27.0 |                     none |                                            - |        none |         none |               none |    73808.94 |
| 2012/08/28 12:32:30 PM |          0 | 31.33 |           0.0 |        16 |       18 |       -13 |        28 |         -5 |          7 |        23.0 |                     none |                                            - |        none |         none |               none |    68811.66 |
| 2012/08/28 12:34:30 PM |          4 | 31.33 |           0.0 |        14 |       13 |       -17 |        28 |        -35 |         -2 |        20.0 |                     none |                                            - |        none |         none |               none |    68811.66 |
| 2012/08/28 12:36:30 PM |          0 | 31.33 |           0.0 |        13 |       12 |       -18 |        28 |        -49 |         -4 |        20.0 |                     none |                                            - |        none |         none |               none |    68811.66 |
| 2012/08/28 12:38:30 PM |          0 | 31.33 |           0.0 |        11 |       11 |       -18 |        28 |        -82 |         -7 |        19.0 |                     none |                                            - |        none |         none |               none |    68822.06 |
| 2012/08/28 12:40:30 PM |          0 | 31.35 |           0.0 |         7 |       11 |       -13 |        28 |        -74 |        -10 |        19.0 |                     none |                                            - |        none |         none |               none |    68822.06 |
